選舉年度,地區別,選區,姓名,號次,性別,出生年次,推薦政黨,選區_得票數,選區_得票率,當選否,是否現任,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區朝陽里,195,18.41%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區大甲里,75,9.91%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區順天里,148,12.88%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區孔門里,146,12.09%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區平安里,93,9.83%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區庄美里,264,16.37%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區新美里,338,14.21%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區岷山里,207,13.92%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區中山里,345,13.05%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區南陽里,89,14.88%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區薰風里,92,13.69%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區義和里,316,14.11%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區武陵里,83,9.18%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區文曲里,211,25.03%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區武曲里,213,15.38%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區文武里,626,17.74%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區奉化里,176,12.97%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區德化里,196,15.48%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區江南里,196,20.52%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區頂店里,453,15.42%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區太白里,81,8.09%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區孟春里,210,7.6%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區幸福里,146,7.93%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區日南里,368,11.08%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區龍泉里,89,7.57%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區西岐里,180,14.41%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區銅安里,85,8.47%
2010,區域,臺中市第一選區,林素真,01,F,1959,中國國民黨,11054,14.48%,N,N,臺中市第一選區大甲區,5999,13.53%,臺中市第一選區大甲區福德里,208,23.34%
