選舉年度,地區別,選區,姓名,號次,性別,出生年次,推薦政黨,選區_得票數,選區_得票率,當選否,是否現任,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區白河里,345,28.54%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區永安里,523,27.83%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區外角里,268,28.36%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區庄內里,297,26.03%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區秀祐里,148,22.49%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區河東里,258,30.18%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區虎山里,77,23.19%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區大林里,176,34.92%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區崁頭里,69,21.5%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區六溪里,113,24.3%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區仙草里,209,26.16%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區關嶺里,217,29.32%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區玉豐里,282,34.14%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區大竹里,300,34.21%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區詔安里,168,30.49%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區廣安里,123,25.41%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區蓮潭里,221,39.96%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區竹門里,227,33.93%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區崎內里,101,20.61%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區昇安里,217,23.95%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區汴頭里,156,35.78%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區內角里,234,40.7%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區草店里,132,22.3%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區白河區,4982,29.04%,臺南市第一選區白河區甘宅里,121,34.97%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區後壁里,578,49.66%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區侯伯里,478,50.37%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區嘉苳里,486,56.45%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區土溝里,537,54.3%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區嘉田里,468,61.99%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區嘉民里,536,58.77%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區菁豐里,281,55.75%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區崁頂里,210,54.55%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區仕安里,230,53.36%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區竹新里,683,61.92%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區新東里,563,57.68%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區頂安里,436,49.27%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區長安里,399,46.02%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區福安里,264,30.84%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區烏樹里,276,53.28%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區後部里,153,46.36%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區墨林里,206,43.55%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區菁寮里,106,42.57%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區新嘉里,540,70.5%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區頂長里,255,66.58%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區後壁區,8013,53.3%,臺南市第一選區後壁區平安里,328,48.45%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區東山里,189,22.34%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區東中里,388,25.49%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區東正里,241,26.25%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區三榮里,240,33.2%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區大客里,153,21.46%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區科里里,283,27.85%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區東河里,198,30.7%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區南溪里,22,7.94%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區水雲里,68,20.3%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區林安里,38,14.29%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區東原里,228,14.14%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區嶺南里,94,22.01%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區南勢里,189,22%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區青山里,138,19.66%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區高原里,128,17.53%
2010,區域,臺南市第一選區,賴美惠,01,F,1958,民主進步黨,15947,35.33%,Y,N,臺南市第一選區東山區,2952,22.78%,臺南市第一選區東山區聖賢里,355,25.99%
2010,區域,臺南市第一選區,張世賢,02,M,1953,中國國民黨,13046,28.9%,Y,N,臺南市第一選區白河區,8803,51.32%,臺南市第一選區白河區白河里,617,51.03%
2010,區域,臺南市第一選區,張世賢,02,M,1953,中國國民黨,13046,28.9%,Y,N,臺南市第一選區白河區,8803,51.32%,臺南市第一選區白河區永安里,996,53.01%
2010,區域,臺南市第一選區,張世賢,02,M,1953,中國國民黨,13046,28.9%,Y,N,臺南市第一選區白河區,8803,51.32%,臺南市第一選區白河區外角里,487,51.53%
2010,區域,臺南市第一選區,張世賢,02,M,1953,中國國民黨,13046,28.9%,Y,N,臺南市第一選區白河區,8803,51.32%,臺南市第一選區白河區庄內里,609,53.37%
2010,區域,臺南市第一選區,張世賢,02,M,1953,中國國民黨,13046,28.9%,Y,N,臺南市第一選區白河區,8803,51.32%,臺南市第一選區白河區秀祐里,379,57.6%
2010,區域,臺南市第一選區,張世賢,02,M,1953,中國國民黨,13046,28.9%,Y,N,臺南市第一選區白河區,8803,51.32%,臺南市第一選區白河區河東里,447,52.28%
2010,區域,臺南市第一選區,張世賢,02,M,1953,中國國民黨,13046,28.9%,Y,N,臺南市第一選區白河區,8803,51.32%,臺南市第一選區白河區虎山里,166,50%
2010,區域,臺南市第一選區,張世賢,02,M,1953,中國國民黨,13046,28.9%,Y,N,臺南市第一選區白河區,8803,51.32%,臺南市第一選區白河區大林里,222,44.05%
2010,區域,臺南市第一選區,張世賢,02,M,1953,中國國民黨,13046,28.9%,Y,N,臺南市第一選區白河區,8803,51.32%,臺南市第一選區白河區崁頭里,137,42.68%
2010,區域,臺南市第一選區,張世賢,02,M,1953,中國國民黨,13046,28.9%,Y,N,臺南市第一選區白河區,8803,51.32%,臺南市第一選區白河區六溪里,190,40.86%
2010,區域,臺南市第一選區,張世賢,02,M,1953,中國國民黨,13046,28.9%,Y,N,臺南市第一選區白河區,8803,51.32%,臺南市第一選區白河區仙草里,417,52.19%
2010,區域,臺南市第一選區,張世賢,02,M,1953,中國國民黨,13046,28.9%,Y,N,臺南市第一選區白河區,8803,51.32%,臺南市第一選區白河區關嶺里,279,37.7%
