選舉年度,地區別,選區,姓名,號次,性別,出生年次,推薦政黨,選區_得票數,選區_得票率,當選否,是否現任,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
2010,區域,新北市第一選區,王鐘銘,01,M,1978,綠黨,8321,7.5%,N,N,新北市第一選區淡水區,7061,9.56%,新北市第一選區淡水區中和里,13,2.97%
2010,區域,新北市第一選區,王鐘銘,01,M,1978,綠黨,8321,7.5%,N,N,新北市第一選區淡水區,7061,9.56%,新北市第一選區淡水區屯山里,18,2.54%
2010,區域,新北市第一選區,王鐘銘,01,M,1978,綠黨,8321,7.5%,N,N,新北市第一選區淡水區,7061,9.56%,新北市第一選區淡水區賢孝里,45,4.12%
2010,區域,新北市第一選區,王鐘銘,01,M,1978,綠黨,8321,7.5%,N,N,新北市第一選區淡水區,7061,9.56%,新北市第一選區淡水區興仁里,51,5.32%
2010,區域,新北市第一選區,王鐘銘,01,M,1978,綠黨,8321,7.5%,N,N,新北市第一選區淡水區,7061,9.56%,新北市第一選區淡水區蕃薯里,15,2.9%
2010,區域,新北市第一選區,王鐘銘,01,M,1978,綠黨,8321,7.5%,N,N,新北市第一選區淡水區,7061,9.56%,新北市第一選區淡水區義山里,60,3.8%
2010,區域,新北市第一選區,王鐘銘,01,M,1978,綠黨,8321,7.5%,N,N,新北市第一選區淡水區,7061,9.56%,新北市第一選區淡水區忠山里,38,5.71%
2010,區域,新北市第一選區,王鐘銘,01,M,1978,綠黨,8321,7.5%,N,N,新北市第一選區淡水區,7061,9.56%,新北市第一選區淡水區崁頂里,102,7.28%
2010,區域,新北市第一選區,王鐘銘,01,M,1978,綠黨,8321,7.5%,N,N,新北市第一選區淡水區,7061,9.56%,新北市第一選區淡水區埤島里,29,3.95%
2010,區域,新北市第一選區,王鐘銘,01,M,1978,綠黨,8321,7.5%,N,N,新北市第一選區淡水區,7061,9.56%,新北市第一選區淡水區新興里,277,9.13%
2010,區域,新北市第一選區,王鐘銘,01,M,1978,綠黨,8321,7.5%,N,N,新北市第一選區淡水區,7061,9.56%,新北市第一選區淡水區水碓里,285,9.11%
2010,區域,新北市第一選區,王鐘銘,01,M,1978,綠黨,8321,7.5%,N,N,新北市第一選區淡水區,7061,9.56%,新北市第一選區淡水區北投里,284,10.07%
2010,區域,新北市第一選區,王鐘銘,01,M,1978,綠黨,8321,7.5%,N,N,新北市第一選區淡水區,7061,9.56%,新北市第一選區淡水區水源里,94,6.65%
