選舉年度,地區別,選區,姓名,號次,性別,出生年次,推薦政黨,選區_得票數,選區_得票率,當選否,是否現任,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區藍橋里,61,6.57%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區慈愛里,42,10.55%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區博愛里,130,22.57%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區壽星里,96,10.26%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區中山里,113,12.83%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區教仁里,155,9.46%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區新樂里,49,7.08%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區中原里,58,11.35%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區光明里,68,8.32%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區育仁里,75,12.71%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區河濱里,90,6.65%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區沙地里,44,5.75%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區南端里,92,11.32%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區港都里,63,7.55%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區江西里,127,14.13%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區新豐里,115,21.54%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區府北里,74,6.14%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區陸橋里,153,16.85%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區瀨南里,106,19.34%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區新化里,31,5.26%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鹽埕區,1780,10.44%,高雄市第一選區鹽埕區江南里,38,5.99%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區鼓峰里,478,31.95%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區雄峰里,60,4.09%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區前峰里,401,12.65%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區光榮里,416,14.7%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區民族里,64,5.74%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區內惟里,105,11.19%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區建國里,246,16.17%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區忠正里,210,7.28%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區自強里,24,4.03%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區龍井里,245,21.8%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區正德里,153,12.06%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區平和里,363,16.22%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區民強里,140,6.73%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區厚生里,135,8.65%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區龍子里,241,7.09%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區龍水里,52,7.58%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區明誠里,532,8.16%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區華豐里,79,3.44%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區裕興里,85,4.2%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區裕豐里,58,3.61%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區鼓岩里,256,22.57%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區樹德里,217,28.78%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區寶樹里,76,11.45%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區興宗里,228,20.3%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區光化里,225,20.36%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區山下里,224,20.53%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區河邊里,113,9.72%
2002,區域,高雄市第一選區,張省吾,01,M,1943,無黨籍及未經政黨推薦,10918,12.04%,Y,Y,高雄市第一選區鼓山區,7865,13.77%,高雄市第一選區鼓山區綠川里,168,14.37%
