選舉年度,地區別,選區,姓名,號次,性別,出生年次,推薦政黨,選區_得票數,選區_得票率,當選否,是否現任,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
2006,區域,臺北市第一選區,陳國棟,01,M,1960,無黨籍及未經政黨推薦,4021,1.51%,N,N,臺北市第一選區士林區,487,0.34%,臺北市第一選區士林區仁勇里,4,0.18%
2006,區域,臺北市第一選區,陳國棟,01,M,1960,無黨籍及未經政黨推薦,4021,1.51%,N,N,臺北市第一選區士林區,487,0.34%,臺北市第一選區士林區義信里,8,0.44%
2006,區域,臺北市第一選區,陳國棟,01,M,1960,無黨籍及未經政黨推薦,4021,1.51%,N,N,臺北市第一選區士林區,487,0.34%,臺北市第一選區士林區福林里,8,0.49%
2006,區域,臺北市第一選區,陳國棟,01,M,1960,無黨籍及未經政黨推薦,4021,1.51%,N,N,臺北市第一選區士林區,487,0.34%,臺北市第一選區士林區福德里,13,0.56%
2006,區域,臺北市第一選區,陳國棟,01,M,1960,無黨籍及未經政黨推薦,4021,1.51%,N,N,臺北市第一選區士林區,487,0.34%,臺北市第一選區士林區福志里,10,0.24%
2006,區域,臺北市第一選區,陳國棟,01,M,1960,無黨籍及未經政黨推薦,4021,1.51%,N,N,臺北市第一選區士林區,487,0.34%,臺北市第一選區士林區舊佳里,8,0.23%
2006,區域,臺北市第一選區,陳國棟,01,M,1960,無黨籍及未經政黨推薦,4021,1.51%,N,N,臺北市第一選區士林區,487,0.34%,臺北市第一選區士林區福佳里,28,0.67%
2006,區域,臺北市第一選區,陳國棟,01,M,1960,無黨籍及未經政黨推薦,4021,1.51%,N,N,臺北市第一選區士林區,487,0.34%,臺北市第一選區士林區後港里,22,0.53%
2006,區域,臺北市第一選區,陳國棟,01,M,1960,無黨籍及未經政黨推薦,4021,1.51%,N,N,臺北市第一選區士林區,487,0.34%,臺北市第一選區士林區福中里,12,0.4%
2006,區域,臺北市第一選區,陳國棟,01,M,1960,無黨籍及未經政黨推薦,4021,1.51%,N,N,臺北市第一選區士林區,487,0.34%,臺北市第一選區士林區前港里,14,0.62%
2006,區域,臺北市第一選區,陳國棟,01,M,1960,無黨籍及未經政黨推薦,4021,1.51%,N,N,臺北市第一選區士林區,487,0.34%,臺北市第一選區士林區百齡里,18,0.46%
2006,區域,臺北市第一選區,陳國棟,01,M,1960,無黨籍及未經政黨推薦,4021,1.51%,N,N,臺北市第一選區士林區,487,0.34%,臺北市第一選區士林區承德里,6,0.21%
