選舉年度,地區別,選區,姓名,號次,性別,出生年次,推薦政黨,選區_得票數,選區_得票率,當選否,是否現任,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區仁勇里,113,4.66%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區義信里,59,3.05%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區福林里,62,3.42%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區福德里,105,3.94%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區福志里,127,2.81%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區舊佳里,135,3.79%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區福佳里,191,4.18%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區後港里,182,3.85%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區福中里,198,6.69%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區前港里,198,5.38%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區百齡里,281,6.41%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區承德里,172,5.2%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區福華里,303,7.87%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區明勝里,193,6.64%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區福順里,193,6.38%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區富光里,178,5.15%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區葫蘆里,175,3.82%
2010,區域,臺北市第一選區,林世宗,01,M,1959,民主進步黨,13345,4.48%,Y,N,臺北市第一選區士林區,6155,3.84%,臺北市第一選區士林區葫東里,128,5.59%
