地區,姓名,號次,性別,出生年次,推薦政黨,地區_得票數,地區_得票率,當選否,是否現任,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市中區,5281,51.98%,臺中市中區繼光里,631,54.87%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市中區,5281,51.98%,臺中市中區大墩里,824,53.02%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市中區,5281,51.98%,臺中市中區綠川里,716,56.03%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市中區,5281,51.98%,臺中市中區公園里,517,49.95%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市中區,5281,51.98%,臺中市中區光復里,720,47.78%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市中區,5281,51.98%,臺中市中區柳川里,576,49.23%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市中區,5281,51.98%,臺中市中區大誠里,733,52.21%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市中區,5281,51.98%,臺中市中區中華里,564,53.11%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區新庄里,1056,55.9%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區振興里,1376,60.35%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區東橋里,1538,60.15%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區東興里,1132,55.87%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區干城里,942,61.13%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區泉源里,683,60.39%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區旱溪里,899,53.8%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區樂成里,772,58.35%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區東門里,2502,62.41%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區十甲里,1473,55.31%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區東南里,1196,48.88%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區東勢里,831,47.68%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區合作里,785,31.02%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區富臺里,307,27.91%
臺中市,蘇嘉全,01,M,1956,民主進步黨,698358,48.88%,N,N,臺中市東區,21569,52.53%,臺中市東區富仁里,745,27.57%
