地區,姓名,號次,性別,出生年次,推薦政黨,地區_得票數,地區_得票率,當選否,是否現任,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區忠政里,1736,57.07%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區民權里,815,52.58%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區三仙里,885,47.89%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區好平里,253,41.89%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區延平里,346,40.75%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區永生里,359,52.49%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區大宏里,898,47.49%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區王公里,1283,48.97%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區中營里,371,43.19%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區土庫里,384,34.41%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區興安里,140,46.05%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區南興里,708,48.2%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區興業里,531,56.55%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區民生里,988,46.67%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區民榮里,1206,44.31%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區埤寮里,478,40.24%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區護鎮里,365,35.75%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區太南里,306,28.98%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區太北里,358,31.43%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區南紙里,1124,48.7%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區嘉芳里,397,36.56%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區舊部里,82,30.15%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區角帶里,122,37.89%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區鐵線里,168,28.28%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區五興里,198,29.42%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區姑爺里,118,26.7%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區新北里,1400,51.81%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區新南里,1210,49.69%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市新營區,18988,46.23%,臺南市新營區新東里,1759,54.63%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區水秀里,348,32.95%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區福得里,165,38.46%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區三生里,96,34.78%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區武廟里,132,34.74%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區中境里,162,47.65%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區水仙里,116,43.28%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區水正里,257,44.23%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區橋南里,990,41.23%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區舊營里,117,21.23%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區汫水里,127,19.13%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區岸內里,946,39.71%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區義稠里,189,32.98%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區下中里,150,27.57%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區歡雅里,390,32.86%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區大莊里,115,27.12%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區桐寮里,78,29.66%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區後宅里,140,27.94%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區孫厝里,117,34.51%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區竹埔里,165,25.38%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區下林里,65,21.52%
臺南市,郭添財,01,M,1962,中國國民黨,406196,39.59%,N,N,臺南市鹽水區,5472,34%,臺南市鹽水區田寮里,54,23.48%
