地區,姓名,號次,性別,出生年次,推薦政黨,地區_得票數,地區_得票率,當選否,是否現任,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
高雄市,施明德,01,M,1941,無黨籍及未經政黨推薦,8750,1.13%,N,N,高雄市鹽埕區,189,1.1%,高雄市鹽埕區藍橋里,10,1.07%
高雄市,施明德,01,M,1941,無黨籍及未經政黨推薦,8750,1.13%,N,N,高雄市鹽埕區,189,1.1%,高雄市鹽埕區慈愛里,7,1.75%
高雄市,施明德,01,M,1941,無黨籍及未經政黨推薦,8750,1.13%,N,N,高雄市鹽埕區,189,1.1%,高雄市鹽埕區博愛里,13,2.27%
高雄市,施明德,01,M,1941,無黨籍及未經政黨推薦,8750,1.13%,N,N,高雄市鹽埕區,189,1.1%,高雄市鹽埕區壽星里,6,0.64%
高雄市,施明德,01,M,1941,無黨籍及未經政黨推薦,8750,1.13%,N,N,高雄市鹽埕區,189,1.1%,高雄市鹽埕區中山里,10,1.12%
高雄市,施明德,01,M,1941,無黨籍及未經政黨推薦,8750,1.13%,N,N,高雄市鹽埕區,189,1.1%,高雄市鹽埕區教仁里,20,1.21%
高雄市,施明德,01,M,1941,無黨籍及未經政黨推薦,8750,1.13%,N,N,高雄市鹽埕區,189,1.1%,高雄市鹽埕區新樂里,10,1.43%
高雄市,施明德,01,M,1941,無黨籍及未經政黨推薦,8750,1.13%,N,N,高雄市鹽埕區,189,1.1%,高雄市鹽埕區中原里,3,0.59%
高雄市,施明德,01,M,1941,無黨籍及未經政黨推薦,8750,1.13%,N,N,高雄市鹽埕區,189,1.1%,高雄市鹽埕區光明里,2,0.24%
高雄市,施明德,01,M,1941,無黨籍及未經政黨推薦,8750,1.13%,N,N,高雄市鹽埕區,189,1.1%,高雄市鹽埕區育仁里,4,0.68%
