地區,姓名,號次,性別,出生年次,推薦政黨,地區_得票數,地區_得票率,當選否,是否現任,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區莊敬里,6,0.18%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區東榮里,6,0.13%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區三民里,4,0.11%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區新益里,3,0.11%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區富錦里,4,0.14%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區新東里,7,0.25%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區富泰里,5,0.2%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區介壽里,0,0%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區精忠里,2,0.08%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區東光里,7,0.17%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區龍田里,5,0.09%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區東昌里,4,0.26%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區東勢里,3,0.12%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區中華里,5,0.14%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區民有里,8,0.16%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區民福里,5,0.13%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區慈祐里,1,0.03%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區安平里,12,0.25%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區鵬程里,6,0.18%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區自強里,4,0.07%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區吉祥里,6,0.13%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區新聚里,1,0.02%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區復盛里,5,0.13%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區中正里,5,0.1%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區中崙里,4,0.18%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區美仁里,1,0.05%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區吉仁里,3,0.13%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區敦化里,5,0.12%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區復源里,3,0.16%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區復建里,0,0%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區復勢里,7,0.2%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區福成里,0,0%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市松山區,141,0.13%,臺北市松山區松基里,4,0.17%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區西村里,4,0.14%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區正和里,5,0.18%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區興隆里,3,0.18%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區中興里,1,0.06%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區新仁里,3,0.15%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區興雅里,2,0.06%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區敦厚里,2,0.07%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區廣居里,11,0.25%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區安康里,7,0.13%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區六藝里,0,0%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區雅祥里,3,0.11%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區五常里,4,0.18%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區五全里,11,0.35%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區永吉里,0,0%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區長春里,2,0.08%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區四育里,3,0.09%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區四維里,6,0.19%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區永春里,6,0.2%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區富臺里,5,0.2%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區國業里,4,0.09%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區松隆里,1,0.08%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區松友里,16,0.42%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區松光里,3,0.1%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區中坡里,4,0.14%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區中行里,5,0.11%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區大道里,1,0.03%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區大仁里,2,0.07%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區景新里,5,0.18%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區惠安里,5,0.13%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區三張里,2,0.04%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區三犁里,5,0.17%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區六合里,8,0.21%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區泰和里,5,0.11%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區景聯里,2,0.07%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區景勤里,4,0.16%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區雙和里,15,0.35%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區嘉興里,2,0.1%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區黎順里,3,0.13%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區黎平里,9,0.22%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區黎忠里,2,0.07%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市信義區,185,0.15%,臺北市信義區黎安里,4,0.28%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區德安里,5,0.16%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區仁慈里,4,0.14%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區和安里,6,0.17%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區民炤里,4,0.09%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區仁愛里,1,0.04%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區義村里,4,0.12%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區民輝里,4,0.11%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區昌隆里,1,0.05%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區誠安里,1,0.04%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區光武里,1,0.02%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區龍坡里,2,0.06%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區龍泉里,2,0.08%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區古風里,3,0.12%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區古莊里,3,0.08%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區龍安里,0,0%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區錦安里,1,0.03%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區福住里,4,0.13%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區永康里,1,0.05%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區光明里,2,0.1%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區錦泰里,1,0.04%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區錦華里,2,0.07%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區龍圖里,10,0.27%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區新龍里,4,0.11%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區龍陣里,2,0.1%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區龍雲里,5,0.18%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區龍生里,0,0%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區住安里,3,0.1%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區義安里,2,0.07%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區通化里,3,0.08%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區通安里,5,0.16%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區臨江里,6,0.24%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區法治里,1,0.04%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區全安里,1,0.04%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區群賢里,3,0.09%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區群英里,4,0.1%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區虎嘯里,3,0.15%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區臥龍里,2,0.18%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區龍淵里,4,0.08%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區龍門里,1,0.04%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區大學里,3,0.07%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區芳和里,4,0.11%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區黎元里,8,0.23%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區黎孝里,8,0.18%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區黎和里,3,0.11%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區建安里,3,0.11%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區建倫里,2,0.06%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區敦安里,2,0.06%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區正聲里,4,0.16%
臺北市,吳炎成,01,M,1942,無黨籍及未經政黨推薦,1832,0.13%,N,N,臺北市大安區,159,0.1%,臺北市大安區敦煌里,2,0.06%
