選舉年度,地區別,選區,姓名,號次,性別,出生年次,推薦政黨,選區_得票數,選區_得票率,當選否,是否現任,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
1998,區域,高雄市第一選區,陳漢昇　　,01,M,1953,中國國民黨,13924,14.17%,Y,Y,高雄市第一選區鹽埕區,770,4.13%,高雄市第一選區鹽埕區藍橋里,43,5.38%
1998,區域,高雄市第一選區,陳漢昇　　,01,M,1953,中國國民黨,13924,14.17%,Y,Y,高雄市第一選區鹽埕區,770,4.13%,高雄市第一選區鹽埕區慈愛里,16,3.1%
1998,區域,高雄市第一選區,陳漢昇　　,01,M,1953,中國國民黨,13924,14.17%,Y,Y,高雄市第一選區鹽埕區,770,4.13%,高雄市第一選區鹽埕區博愛里,36,4.51%
1998,區域,高雄市第一選區,陳漢昇　　,01,M,1953,中國國民黨,13924,14.17%,Y,Y,高雄市第一選區鹽埕區,770,4.13%,高雄市第一選區鹽埕區壽星里,22,2.12%
1998,區域,高雄市第一選區,陳漢昇　　,01,M,1953,中國國民黨,13924,14.17%,Y,Y,高雄市第一選區鹽埕區,770,4.13%,高雄市第一選區鹽埕區中山里,34,3.25%
1998,區域,高雄市第一選區,陳漢昇　　,01,M,1953,中國國民黨,13924,14.17%,Y,Y,高雄市第一選區鹽埕區,770,4.13%,高雄市第一選區鹽埕區教仁里,81,4.68%
1998,區域,高雄市第一選區,陳漢昇　　,01,M,1953,中國國民黨,13924,14.17%,Y,Y,高雄市第一選區鹽埕區,770,4.13%,高雄市第一選區鹽埕區新樂里,20,3.02%
1998,區域,高雄市第一選區,陳漢昇　　,01,M,1953,中國國民黨,13924,14.17%,Y,Y,高雄市第一選區鹽埕區,770,4.13%,高雄市第一選區鹽埕區中原里,20,3.47%
1998,區域,高雄市第一選區,陳漢昇　　,01,M,1953,中國國民黨,13924,14.17%,Y,Y,高雄市第一選區鹽埕區,770,4.13%,高雄市第一選區鹽埕區光明里,23,2.61%
1998,區域,高雄市第一選區,陳漢昇　　,01,M,1953,中國國民黨,13924,14.17%,Y,Y,高雄市第一選區鹽埕區,770,4.13%,高雄市第一選區鹽埕區育仁里,16,2.31%
