地區,姓名,號次,性別,出生年次,推薦政黨,地區_得票數,地區_得票率,當選否,是否現任,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市神農里,160,41.99%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市民權里,423,38.99%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市民生里,173,56.35%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市昇平里,294,58.57%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市大東里,204,49.64%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市新興里,165,44.84%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市和睦里,599,43.5%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市進士里,1585,47.4%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市南橋里,285,54.7%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市建業里,445,53.23%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市南津里,383,54.1%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市凱旋里,457,54.53%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市黎明里,542,51.33%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市東村里,1336,45.8%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市延平里,1515,45.05%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市七張里,561,61.18%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市慈安里,1282,45.36%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市新民里,220,51.4%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市東門里,199,57.35%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市中正里,217,53.71%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市小東里,416,46.69%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市菜園里,462,52.62%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市孝廉里,358,51.66%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市新生里,868,53.68%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市茭白里,813,55.12%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市北津里,647,54.23%
宜蘭縣,林聰賢,01,M,1962,民主進步黨,133394,54.26%,Y,N,宜蘭縣宜蘭市,23417,47.88%,宜蘭縣宜蘭市梅洲里,1099,57.75%
