地區,姓名,號次,性別,出生年次,推薦政黨,地區_得票數,地區_得票率,當選否,是否現任,縣市,縣市_得票數,縣市_得票率,鄉鎮區,鄉鎮區_得票數,鄉鎮區_得票率,里,里_得票數,里_得票率
台澎金馬,陳水扁,01,M,1951,民主進步黨,6471970,50.11%,Y,Y,臺北縣,1000265,46.94%,臺北縣板橋市,159999,50.48%,臺北縣板橋市留侯里,430,45.55%
台澎金馬,陳水扁,01,M,1951,民主進步黨,6471970,50.11%,Y,Y,臺北縣,1000265,46.94%,臺北縣板橋市,159999,50.48%,臺北縣板橋市流芳里,461,48.68%
台澎金馬,陳水扁,01,M,1951,民主進步黨,6471970,50.11%,Y,Y,臺北縣,1000265,46.94%,臺北縣板橋市,159999,50.48%,臺北縣板橋市赤松里,238,45.08%
台澎金馬,陳水扁,01,M,1951,民主進步黨,6471970,50.11%,Y,Y,臺北縣,1000265,46.94%,臺北縣板橋市,159999,50.48%,臺北縣板橋市黃石里,416,51.04%
台澎金馬,陳水扁,01,M,1951,民主進步黨,6471970,50.11%,Y,Y,臺北縣,1000265,46.94%,臺北縣板橋市,159999,50.48%,臺北縣板橋市挹秀里,429,37.5%
台澎金馬,陳水扁,01,M,1951,民主進步黨,6471970,50.11%,Y,Y,臺北縣,1000265,46.94%,臺北縣板橋市,159999,50.48%,臺北縣板橋市湳興里,1502,50.08%
台澎金馬,陳水扁,01,M,1951,民主進步黨,6471970,50.11%,Y,Y,臺北縣,1000265,46.94%,臺北縣板橋市,159999,50.48%,臺北縣板橋市新興里,1002,50.13%
台澎金馬,陳水扁,01,M,1951,民主進步黨,6471970,50.11%,Y,Y,臺北縣,1000265,46.94%,臺北縣板橋市,159999,50.48%,臺北縣板橋市社後里,1947,50.26%
台澎金馬,陳水扁,01,M,1951,民主進步黨,6471970,50.11%,Y,Y,臺北縣,1000265,46.94%,臺北縣板橋市,159999,50.48%,臺北縣板橋市香社里,1547,53.94%
台澎金馬,陳水扁,01,M,1951,民主進步黨,6471970,50.11%,Y,Y,臺北縣,1000265,46.94%,臺北縣板橋市,159999,50.48%,臺北縣板橋市中正里,1451,51.09%
台澎金馬,陳水扁,01,M,1951,民主進步黨,6471970,50.11%,Y,Y,臺北縣,1000265,46.94%,臺北縣板橋市,159999,50.48%,臺北縣板橋市自強里,1368,37.12%
