地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市,縣市_選舉人數,縣市_投票數,縣市_有效票數,縣市_無效票數,縣市_投票率,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
臺灣省,16960902,11184258,5,5,--,1,1,--,8517124,8405930,111194,65.94%,76.15%,20%,臺北縣,2087813,1581603,1564031,17572,75%,臺北縣板橋市,338069,259335,256392,2943,76%,臺北縣板橋市留侯里,1260,960,948,12,76%
臺灣省,16960902,11184258,5,5,--,1,1,--,8517124,8405930,111194,65.94%,76.15%,20%,臺北縣,2087813,1581603,1564031,17572,75%,臺北縣板橋市,338069,259335,256392,2943,76%,臺北縣板橋市流芳里,1330,1022,1017,5,76%
臺灣省,16960902,11184258,5,5,--,1,1,--,8517124,8405930,111194,65.94%,76.15%,20%,臺北縣,2087813,1581603,1564031,17572,75%,臺北縣板橋市,338069,259335,256392,2943,76%,臺北縣板橋市赤松里,578,470,466,4,81%
臺灣省,16960902,11184258,5,5,--,1,1,--,8517124,8405930,111194,65.94%,76.15%,20%,臺北縣,2087813,1581603,1564031,17572,75%,臺北縣板橋市,338069,259335,256392,2943,76%,臺北縣板橋市黃石里,1161,877,874,3,75%
臺灣省,16960902,11184258,5,5,--,1,1,--,8517124,8405930,111194,65.94%,76.15%,20%,臺北縣,2087813,1581603,1564031,17572,75%,臺北縣板橋市,338069,259335,256392,2943,76%,臺北縣板橋市挹秀里,1650,1290,1284,6,78%
臺灣省,16960902,11184258,5,5,--,1,1,--,8517124,8405930,111194,65.94%,76.15%,20%,臺北縣,2087813,1581603,1564031,17572,75%,臺北縣板橋市,338069,259335,256392,2943,76%,臺北縣板橋市湳興里,3956,2975,2949,26,75%
臺灣省,16960902,11184258,5,5,--,1,1,--,8517124,8405930,111194,65.94%,76.15%,20%,臺北縣,2087813,1581603,1564031,17572,75%,臺北縣板橋市,338069,259335,256392,2943,76%,臺北縣板橋市新興里,2482,1900,1882,18,76%
臺灣省,16960902,11184258,5,5,--,1,1,--,8517124,8405930,111194,65.94%,76.15%,20%,臺北縣,2087813,1581603,1564031,17572,75%,臺北縣板橋市,338069,259335,256392,2943,76%,臺北縣板橋市社後里,4479,3481,3448,33,77%
臺灣省,16960902,11184258,5,5,--,1,1,--,8517124,8405930,111194,65.94%,76.15%,20%,臺北縣,2087813,1581603,1564031,17572,75%,臺北縣板橋市,338069,259335,256392,2943,76%,臺北縣板橋市香社里,3089,2419,2386,33,78%
臺灣省,16960902,11184258,5,5,--,1,1,--,8517124,8405930,111194,65.94%,76.15%,20%,臺北縣,2087813,1581603,1564031,17572,75%,臺北縣板橋市,338069,259335,256392,2943,76%,臺北縣板橋市中正里,3651,2719,2681,38,74%
臺灣省,16960902,11184258,5,5,--,1,1,--,8517124,8405930,111194,65.94%,76.15%,20%,臺北縣,2087813,1581603,1564031,17572,75%,臺北縣板橋市,338069,259335,256392,2943,76%,臺北縣板橋市自強里,4360,3465,3442,23,79%
臺灣省,16960902,11184258,5,5,--,1,1,--,8517124,8405930,111194,65.94%,76.15%,20%,臺北縣,2087813,1581603,1564031,17572,75%,臺北縣板橋市,338069,259335,256392,2943,76%,臺北縣板橋市自立里,2456,1964,1947,17,79%
