選舉別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市選區,縣市選區_人口數,縣市選區_選舉人數,縣市選區_候選人數_計,縣市選區_候選人數_男,縣市選區_候選人數_女,縣市選區_當選人數_計,縣市選區_當選人數_男,縣市選區_當選人數_女,縣市選區_投票數合計,縣市選區_有效票數,縣市選區_無效票數,縣市選區_選舉人數對人口數,縣市選區_投票數對選舉人數,縣市選區_當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
區域,20852481,13897056,420,341,79,228,185,43,10619630,10284454,335176,66.64%,76.42%,54.29%,高雄市第一選區,766201,508901,15,13,2,8,7,1,399011,387202,11809,66.42%,78.41%,53.33%,高雄市第一選區鹽埕區,23626,18441,17932,509,78%,高雄市第一選區鹽埕區藍橋里,974,791,774,17,81%
區域,20852481,13897056,420,341,79,228,185,43,10619630,10284454,335176,66.64%,76.42%,54.29%,高雄市第一選區,766201,508901,15,13,2,8,7,1,399011,387202,11809,66.42%,78.41%,53.33%,高雄市第一選區鹽埕區,23626,18441,17932,509,78%,高雄市第一選區鹽埕區慈愛里,684,536,517,19,78%
區域,20852481,13897056,420,341,79,228,185,43,10619630,10284454,335176,66.64%,76.42%,54.29%,高雄市第一選區,766201,508901,15,13,2,8,7,1,399011,387202,11809,66.42%,78.41%,53.33%,高雄市第一選區鹽埕區,23626,18441,17932,509,78%,高雄市第一選區鹽埕區博愛里,741,599,580,19,80%
區域,20852481,13897056,420,341,79,228,185,43,10619630,10284454,335176,66.64%,76.42%,54.29%,高雄市第一選區,766201,508901,15,13,2,8,7,1,399011,387202,11809,66.42%,78.41%,53.33%,高雄市第一選區鹽埕區,23626,18441,17932,509,78%,高雄市第一選區鹽埕區壽星里,1288,1008,982,26,78%
區域,20852481,13897056,420,341,79,228,185,43,10619630,10284454,335176,66.64%,76.42%,54.29%,高雄市第一選區,766201,508901,15,13,2,8,7,1,399011,387202,11809,66.42%,78.41%,53.33%,高雄市第一選區鹽埕區,23626,18441,17932,509,78%,高雄市第一選區鹽埕區中山里,1210,977,941,36,80%
區域,20852481,13897056,420,341,79,228,185,43,10619630,10284454,335176,66.64%,76.42%,54.29%,高雄市第一選區,766201,508901,15,13,2,8,7,1,399011,387202,11809,66.42%,78.41%,53.33%,高雄市第一選區鹽埕區,23626,18441,17932,509,78%,高雄市第一選區鹽埕區教仁里,2225,1743,1689,54,78%
區域,20852481,13897056,420,341,79,228,185,43,10619630,10284454,335176,66.64%,76.42%,54.29%,高雄市第一選區,766201,508901,15,13,2,8,7,1,399011,387202,11809,66.42%,78.41%,53.33%,高雄市第一選區鹽埕區,23626,18441,17932,509,78%,高雄市第一選區鹽埕區新樂里,766,606,593,13,79%
區域,20852481,13897056,420,341,79,228,185,43,10619630,10284454,335176,66.64%,76.42%,54.29%,高雄市第一選區,766201,508901,15,13,2,8,7,1,399011,387202,11809,66.42%,78.41%,53.33%,高雄市第一選區鹽埕區,23626,18441,17932,509,78%,高雄市第一選區鹽埕區中原里,699,561,549,12,80%
區域,20852481,13897056,420,341,79,228,185,43,10619630,10284454,335176,66.64%,76.42%,54.29%,高雄市第一選區,766201,508901,15,13,2,8,7,1,399011,387202,11809,66.42%,78.41%,53.33%,高雄市第一選區鹽埕區,23626,18441,17932,509,78%,高雄市第一選區鹽埕區光明里,1036,825,805,20,79%
區域,20852481,13897056,420,341,79,228,185,43,10619630,10284454,335176,66.64%,76.42%,54.29%,高雄市第一選區,766201,508901,15,13,2,8,7,1,399011,387202,11809,66.42%,78.41%,53.33%,高雄市第一選區鹽埕區,23626,18441,17932,509,78%,高雄市第一選區鹽埕區育仁里,889,675,657,18,75%
