選舉別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市選區,縣市選區_人口數,縣市選區_選舉人數,縣市選區_候選人數_計,縣市選區_候選人數_男,縣市選區_候選人數_女,縣市選區_當選人數_計,縣市選區_當選人數_男,縣市選區_當選人數_女,縣市選區_投票數合計,縣市選區_有效票數,縣市選區_無效票數,縣市選區_選舉人數對人口數,縣市選區_投票數對選舉人數,縣市選區_當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市留侯里,1249,956,926,30,76%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市流芳里,1327,1020,991,29,76%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市赤松里,575,469,457,12,81%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市黃石里,1157,875,863,12,75%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市挹秀里,1630,1274,1227,47,78%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市湳興里,3919,2962,2888,74,75%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市新興里,2465,1892,1848,44,76%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市社後里,4450,3464,3379,85,77%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市香社里,3072,2406,2339,67,78%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市中正里,3630,2704,2611,93,74%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市自強里,4337,3454,3371,83,79%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市自立里,2440,1956,1905,51,80%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市光華里,2148,1678,1639,39,78%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市國光里,878,677,657,20,77%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市港尾里,1239,956,928,28,77%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市金華里,3122,2368,2293,75,75%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市港德里,3954,2928,2847,81,74%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市民權里,2566,1999,1958,41,77%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市建國里,3277,2553,2480,73,77%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市漢生里,3782,2951,2877,74,78%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市公館里,3101,2471,2417,54,79%
區域,16610608,10892906,166,135,31,75,59,16,8351806,8153974,197832,65.58%,76.67%,45.18%,臺北縣,3224102,2065188,22,19,3,12,11,1,1568659,1526644,42015,64.05%,75.96%,54.55%,臺北縣板橋市,335302,257751,250402,7349,76%,臺北縣板橋市新民里,3719,2876,2785,91,77%
