選舉別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市選區,縣市選區_人口數,縣市選區_選舉人數,縣市選區_候選人數_計,縣市選區_候選人數_男,縣市選區_候選人數_女,縣市選區_當選人數_計,縣市選區_當選人數_男,縣市選區_當選人數_女,縣市選區_投票數合計,縣市選區_有效票數,縣市選區_無效票數,縣市選區_選舉人數對人口數,縣市選區_投票數對選舉人數,縣市選區_當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區朝陽里,1339,1095,1059,36,81.78%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區大甲里,1115,779,757,22,69.87%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區順天里,1532,1169,1149,20,76.31%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區孔門里,1598,1239,1208,31,77.53%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區平安里,1157,960,946,14,82.97%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區庄美里,2085,1646,1613,33,78.94%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區新美里,3226,2433,2379,54,75.42%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區岷山里,1942,1536,1487,49,79.09%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區中山里,3669,2726,2644,82,74.3%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區南陽里,784,613,598,15,78.19%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區薰風里,889,690,672,18,77.62%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區義和里,2877,2305,2239,66,80.12%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區武陵里,1171,924,904,20,78.91%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區文曲里,1081,865,843,22,80.02%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區武曲里,1680,1419,1385,34,84.46%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區文武里,4820,3586,3529,57,74.4%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區奉化里,1701,1388,1357,31,81.6%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區德化里,1622,1296,1266,30,79.9%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區江南里,1241,989,955,34,79.69%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區頂店里,3829,2998,2937,61,78.3%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區太白里,1200,1021,1001,20,85.08%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區孟春里,3533,2825,2764,61,79.96%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區幸福里,2441,1874,1841,33,76.77%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區日南里,4607,3397,3321,76,73.74%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區龍泉里,1452,1193,1176,17,82.16%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區西岐里,1544,1265,1249,16,81.93%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區銅安里,1287,1030,1004,26,80.03%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區福德里,1079,911,891,20,84.43%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大甲區,57889,45347,44325,1022,78.33%,臺中市第一選區大甲區建興里,1388,1175,1151,24,84.65%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區外埔區,24486,19554,19015,539,79.86%,臺中市第一選區外埔區永豐里,967,794,774,20,82.11%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區外埔區,24486,19554,19015,539,79.86%,臺中市第一選區外埔區六分里,1815,1411,1365,46,77.74%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區外埔區,24486,19554,19015,539,79.86%,臺中市第一選區外埔區三崁里,1779,1466,1421,45,82.41%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區外埔區,24486,19554,19015,539,79.86%,臺中市第一選區外埔區大同里,3993,3236,3154,82,81.04%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區外埔區,24486,19554,19015,539,79.86%,臺中市第一選區外埔區水美里,3096,2398,2336,62,77.45%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區外埔區,24486,19554,19015,539,79.86%,臺中市第一選區外埔區大東里,5558,4392,4260,132,79.02%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區外埔區,24486,19554,19015,539,79.86%,臺中市第一選區外埔區馬鳴里,1329,1132,1097,35,85.18%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區外埔區,24486,19554,19015,539,79.86%,臺中市第一選區外埔區中山里,1089,876,854,22,80.44%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區外埔區,24486,19554,19015,539,79.86%,臺中市第一選區外埔區鐵山里,2102,1593,1551,42,75.78%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區外埔區,24486,19554,19015,539,79.86%,臺中市第一選區外埔區土城里,1562,1282,1251,31,82.07%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區外埔區,24486,19554,19015,539,79.86%,臺中市第一選區外埔區部子里,1196,974,952,22,81.44%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大安區,15780,13325,13022,303,84.44%,臺中市第一選區大安區南埔里,1016,849,836,13,83.56%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大安區,15780,13325,13022,303,84.44%,臺中市第一選區大安區南庄里,1052,837,817,20,79.56%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大安區,15780,13325,13022,303,84.44%,臺中市第一選區大安區中庄里,2485,2078,2026,52,83.62%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大安區,15780,13325,13022,303,84.44%,臺中市第一選區大安區龜殼里,1564,1267,1229,38,81.01%
區域,2617627,1953742,131,96,35,61,44,17,1431294,1400917,30377,74.64%,73.26%,46.56%,臺中市第一選區,130395,98155,9,8,1,3,3,--,78226,76362,1864,75.28%,79.7%,33.33%,臺中市第一選區大安區,15780,13325,13022,303,84.44%,臺中市第一選區大安區福興里,1162,992,963,29,85.37%
