選舉別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市選區,縣市選區_人口數,縣市選區_選舉人數,縣市選區_候選人數_計,縣市選區_候選人數_男,縣市選區_候選人數_女,縣市選區_當選人數_計,縣市選區_當選人數_男,縣市選區_當選人數_女,縣市選區_投票數合計,縣市選區_有效票數,縣市選區_無效票數,縣市選區_選舉人數對人口數,縣市選區_投票數對選舉人數,縣市選區_當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區白河里,1721,1228,1209,19,71.35%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區永安里,2833,1901,1879,22,67.1%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區外角里,1389,963,945,18,69.33%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區庄內里,1605,1155,1141,14,71.96%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區秀祐里,887,671,658,13,75.65%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區河東里,1367,878,855,23,64.23%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區虎山里,451,337,332,5,74.72%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區大林里,629,517,504,13,82.19%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區崁頭里,421,338,321,17,80.29%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區六溪里,567,475,465,10,83.77%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區仙草里,1512,825,799,26,54.56%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區關嶺里,1148,747,740,7,65.07%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區玉豐里,1234,844,826,18,68.4%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區大竹里,1431,891,877,14,62.26%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區詔安里,873,562,551,11,64.38%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區廣安里,686,503,484,19,73.32%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區蓮潭里,887,566,553,13,63.81%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區竹門里,947,689,669,20,72.76%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區崎內里,777,496,490,6,63.84%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區昇安里,1296,926,906,20,71.45%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區汴頭里,728,442,436,6,60.71%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區內角里,759,585,575,10,77.08%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區草店里,866,598,592,6,69.05%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區白河區,25655,17493,17153,340,68.19%,臺南市第一選區白河區甘宅里,641,356,346,10,55.54%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區後壁區,21416,15366,15033,333,71.75%,臺南市第一選區後壁區後壁里,1607,1190,1164,26,74.05%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區後壁區,21416,15366,15033,333,71.75%,臺南市第一選區後壁區侯伯里,1319,968,949,19,73.39%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區後壁區,21416,15366,15033,333,71.75%,臺南市第一選區後壁區嘉苳里,1234,883,861,22,71.56%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區後壁區,21416,15366,15033,333,71.75%,臺南市第一選區後壁區土溝里,1347,1008,989,19,74.83%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區後壁區,21416,15366,15033,333,71.75%,臺南市第一選區後壁區嘉田里,1156,764,755,9,66.09%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區後壁區,21416,15366,15033,333,71.75%,臺南市第一選區後壁區嘉民里,1234,929,912,17,75.28%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區後壁區,21416,15366,15033,333,71.75%,臺南市第一選區後壁區菁豐里,803,518,504,14,64.51%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區後壁區,21416,15366,15033,333,71.75%,臺南市第一選區後壁區崁頂里,461,390,385,5,84.6%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區後壁區,21416,15366,15033,333,71.75%,臺南市第一選區後壁區仕安里,548,437,431,6,79.74%
區域,1867966,1459320,119,87,32,55,34,21,1037561,1019449,18112,78.12%,71.1%,46.22%,臺南市第一選區,80494,66104,4,2,2,2,1,1,46058,45143,915,82.12%,69.68%,50%,臺南市第一選區後壁區,21416,15366,15033,333,71.75%,臺南市第一選區後壁區竹新里,1446,1134,1103,31,78.42%
