選舉別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市選區,縣市選區_人口數,縣市選區_選舉人數,縣市選區_候選人數_計,縣市選區_候選人數_男,縣市選區_候選人數_女,縣市選區_當選人數_計,縣市選區_當選人數_男,縣市選區_當選人數_女,縣市選區_投票數合計,縣市選區_有效票數,縣市選區_無效票數,縣市選區_選舉人數對人口數,縣市選區_投票數對選舉人數,縣市選區_當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
區域,3844081,2968922,129,92,37,62,39,23,2120048,2074939,45109,77.23%,71.41%,48.06%,新北市第一選區,211027,163540,6,5,1,3,2,1,113873,111004,2869,77.5%,69.63%,50%,新北市第一選區淡水區,110156,75830,73883,1947,68.84%,新北市第一選區淡水區中和里,544,448,438,10,82.35%
區域,3844081,2968922,129,92,37,62,39,23,2120048,2074939,45109,77.23%,71.41%,48.06%,新北市第一選區,211027,163540,6,5,1,3,2,1,113873,111004,2869,77.5%,69.63%,50%,新北市第一選區淡水區,110156,75830,73883,1947,68.84%,新北市第一選區淡水區屯山里,966,722,708,14,74.74%
區域,3844081,2968922,129,92,37,62,39,23,2120048,2074939,45109,77.23%,71.41%,48.06%,新北市第一選區,211027,163540,6,5,1,3,2,1,113873,111004,2869,77.5%,69.63%,50%,新北市第一選區淡水區,110156,75830,73883,1947,68.84%,新北市第一選區淡水區賢孝里,1383,1119,1092,27,80.91%
區域,3844081,2968922,129,92,37,62,39,23,2120048,2074939,45109,77.23%,71.41%,48.06%,新北市第一選區,211027,163540,6,5,1,3,2,1,113873,111004,2869,77.5%,69.63%,50%,新北市第一選區淡水區,110156,75830,73883,1947,68.84%,新北市第一選區淡水區興仁里,1400,981,959,22,70.07%
區域,3844081,2968922,129,92,37,62,39,23,2120048,2074939,45109,77.23%,71.41%,48.06%,新北市第一選區,211027,163540,6,5,1,3,2,1,113873,111004,2869,77.5%,69.63%,50%,新北市第一選區淡水區,110156,75830,73883,1947,68.84%,新北市第一選區淡水區蕃薯里,839,532,518,14,63.41%
區域,3844081,2968922,129,92,37,62,39,23,2120048,2074939,45109,77.23%,71.41%,48.06%,新北市第一選區,211027,163540,6,5,1,3,2,1,113873,111004,2869,77.5%,69.63%,50%,新北市第一選區淡水區,110156,75830,73883,1947,68.84%,新北市第一選區淡水區義山里,2177,1617,1577,40,74.28%
區域,3844081,2968922,129,92,37,62,39,23,2120048,2074939,45109,77.23%,71.41%,48.06%,新北市第一選區,211027,163540,6,5,1,3,2,1,113873,111004,2869,77.5%,69.63%,50%,新北市第一選區淡水區,110156,75830,73883,1947,68.84%,新北市第一選區淡水區忠山里,817,692,665,27,84.7%
區域,3844081,2968922,129,92,37,62,39,23,2120048,2074939,45109,77.23%,71.41%,48.06%,新北市第一選區,211027,163540,6,5,1,3,2,1,113873,111004,2869,77.5%,69.63%,50%,新北市第一選區淡水區,110156,75830,73883,1947,68.84%,新北市第一選區淡水區崁頂里,1939,1441,1401,40,74.32%
區域,3844081,2968922,129,92,37,62,39,23,2120048,2074939,45109,77.23%,71.41%,48.06%,新北市第一選區,211027,163540,6,5,1,3,2,1,113873,111004,2869,77.5%,69.63%,50%,新北市第一選區淡水區,110156,75830,73883,1947,68.84%,新北市第一選區淡水區埤島里,1021,753,735,18,73.75%
區域,3844081,2968922,129,92,37,62,39,23,2120048,2074939,45109,77.23%,71.41%,48.06%,新北市第一選區,211027,163540,6,5,1,3,2,1,113873,111004,2869,77.5%,69.63%,50%,新北市第一選區淡水區,110156,75830,73883,1947,68.84%,新北市第一選區淡水區新興里,4710,3114,3033,81,66.11%
