選舉別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市選區,縣市選區_人口數,縣市選區_選舉人數,縣市選區_候選人數_計,縣市選區_候選人數_男,縣市選區_候選人數_女,縣市選區_當選人數_計,縣市選區_當選人數_男,縣市選區_當選人數_女,縣市選區_投票數合計,縣市選區_有效票數,縣市選區_無效票數,縣市選區_選舉人數對人口數,縣市選區_投票數對選舉人數,縣市選區_當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
區域,1500461,1085101,106,88,18,43,33,10,775223,763625,11598,72.32%,71.44%,40.57%,高雄市第一選區,168634,126187,10,8,2,5,4,1,91770,90649,1121,74.83%,72.73%,50%,高雄市第一選區鹽埕區,23534,17300,17052,248,73.51%,高雄市第一選區鹽埕區藍橋里,1253,941,929,12,75.1%
區域,1500461,1085101,106,88,18,43,33,10,775223,763625,11598,72.32%,71.44%,40.57%,高雄市第一選區,168634,126187,10,8,2,5,4,1,91770,90649,1121,74.83%,72.73%,50%,高雄市第一選區鹽埕區,23534,17300,17052,248,73.51%,高雄市第一選區鹽埕區慈愛里,523,403,398,5,77.06%
區域,1500461,1085101,106,88,18,43,33,10,775223,763625,11598,72.32%,71.44%,40.57%,高雄市第一選區,168634,126187,10,8,2,5,4,1,91770,90649,1121,74.83%,72.73%,50%,高雄市第一選區鹽埕區,23534,17300,17052,248,73.51%,高雄市第一選區鹽埕區博愛里,780,580,576,4,74.36%
區域,1500461,1085101,106,88,18,43,33,10,775223,763625,11598,72.32%,71.44%,40.57%,高雄市第一選區,168634,126187,10,8,2,5,4,1,91770,90649,1121,74.83%,72.73%,50%,高雄市第一選區鹽埕區,23534,17300,17052,248,73.51%,高雄市第一選區鹽埕區壽星里,1324,950,936,14,71.75%
區域,1500461,1085101,106,88,18,43,33,10,775223,763625,11598,72.32%,71.44%,40.57%,高雄市第一選區,168634,126187,10,8,2,5,4,1,91770,90649,1121,74.83%,72.73%,50%,高雄市第一選區鹽埕區,23534,17300,17052,248,73.51%,高雄市第一選區鹽埕區中山里,1215,901,881,20,74.16%
區域,1500461,1085101,106,88,18,43,33,10,775223,763625,11598,72.32%,71.44%,40.57%,高雄市第一選區,168634,126187,10,8,2,5,4,1,91770,90649,1121,74.83%,72.73%,50%,高雄市第一選區鹽埕區,23534,17300,17052,248,73.51%,高雄市第一選區鹽埕區教仁里,2197,1661,1638,23,75.6%
區域,1500461,1085101,106,88,18,43,33,10,775223,763625,11598,72.32%,71.44%,40.57%,高雄市第一選區,168634,126187,10,8,2,5,4,1,91770,90649,1121,74.83%,72.73%,50%,高雄市第一選區鹽埕區,23534,17300,17052,248,73.51%,高雄市第一選區鹽埕區新樂里,930,701,692,9,75.38%
區域,1500461,1085101,106,88,18,43,33,10,775223,763625,11598,72.32%,71.44%,40.57%,高雄市第一選區,168634,126187,10,8,2,5,4,1,91770,90649,1121,74.83%,72.73%,50%,高雄市第一選區鹽埕區,23534,17300,17052,248,73.51%,高雄市第一選區鹽埕區中原里,707,515,511,4,72.84%
區域,1500461,1085101,106,88,18,43,33,10,775223,763625,11598,72.32%,71.44%,40.57%,高雄市第一選區,168634,126187,10,8,2,5,4,1,91770,90649,1121,74.83%,72.73%,50%,高雄市第一選區鹽埕區,23534,17300,17052,248,73.51%,高雄市第一選區鹽埕區光明里,1164,828,817,11,71.13%
區域,1500461,1085101,106,88,18,43,33,10,775223,763625,11598,72.32%,71.44%,40.57%,高雄市第一選區,168634,126187,10,8,2,5,4,1,91770,90649,1121,74.83%,72.73%,50%,高雄市第一選區鹽埕區,23534,17300,17052,248,73.51%,高雄市第一選區鹽埕區育仁里,838,597,590,7,71.24%
