選舉別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市選區,縣市選區_人口數,縣市選區_選舉人數,縣市選區_候選人數_計,縣市選區_候選人數_男,縣市選區_候選人數_女,縣市選區_當選人數_計,縣市選區_當選人數_男,縣市選區_當選人數_女,縣市選區_投票數合計,縣市選區_有效票數,縣市選區_無效票數,縣市選區_選舉人數對人口數,縣市選區_投票數對選舉人數,縣市選區_當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
區域,2628928,1936966,109,81,28,51,34,17,1368553,1342187,26366,73.68%,70.65%,46.79%,臺北市第一選區,538462,396984,18,13,5,10,6,4,283961,277603,6358,73.73%,71.53%,55.56%,臺北市第一選區士林區,215211,153116,150290,2826,71.15%,臺北市第一選區士林區仁勇里,3595,2657,2629,28,73.91%
區域,2628928,1936966,109,81,28,51,34,17,1368553,1342187,26366,73.68%,70.65%,46.79%,臺北市第一選區,538462,396984,18,13,5,10,6,4,283961,277603,6358,73.73%,71.53%,55.56%,臺北市第一選區士林區,215211,153116,150290,2826,71.15%,臺北市第一選區士林區義信里,2501,1797,1765,32,71.85%
區域,2628928,1936966,109,81,28,51,34,17,1368553,1342187,26366,73.68%,70.65%,46.79%,臺北市第一選區,538462,396984,18,13,5,10,6,4,283961,277603,6358,73.73%,71.53%,55.56%,臺北市第一選區士林區,215211,153116,150290,2826,71.15%,臺北市第一選區士林區福林里,3176,2285,2236,49,71.95%
區域,2628928,1936966,109,81,28,51,34,17,1368553,1342187,26366,73.68%,70.65%,46.79%,臺北市第一選區,538462,396984,18,13,5,10,6,4,283961,277603,6358,73.73%,71.53%,55.56%,臺北市第一選區士林區,215211,153116,150290,2826,71.15%,臺北市第一選區士林區福德里,4137,2585,2535,50,62.48%
區域,2628928,1936966,109,81,28,51,34,17,1368553,1342187,26366,73.68%,70.65%,46.79%,臺北市第一選區,538462,396984,18,13,5,10,6,4,283961,277603,6358,73.73%,71.53%,55.56%,臺北市第一選區士林區,215211,153116,150290,2826,71.15%,臺北市第一選區士林區福志里,5618,4043,3971,72,71.97%
區域,2628928,1936966,109,81,28,51,34,17,1368553,1342187,26366,73.68%,70.65%,46.79%,臺北市第一選區,538462,396984,18,13,5,10,6,4,283961,277603,6358,73.73%,71.53%,55.56%,臺北市第一選區士林區,215211,153116,150290,2826,71.15%,臺北市第一選區士林區舊佳里,5341,3891,3828,63,72.85%
區域,2628928,1936966,109,81,28,51,34,17,1368553,1342187,26366,73.68%,70.65%,46.79%,臺北市第一選區,538462,396984,18,13,5,10,6,4,283961,277603,6358,73.73%,71.53%,55.56%,臺北市第一選區士林區,215211,153116,150290,2826,71.15%,臺北市第一選區士林區福佳里,5873,4332,4262,70,73.76%
區域,2628928,1936966,109,81,28,51,34,17,1368553,1342187,26366,73.68%,70.65%,46.79%,臺北市第一選區,538462,396984,18,13,5,10,6,4,283961,277603,6358,73.73%,71.53%,55.56%,臺北市第一選區士林區,215211,153116,150290,2826,71.15%,臺北市第一選區士林區後港里,6287,4424,4347,77,70.37%
區域,2628928,1936966,109,81,28,51,34,17,1368553,1342187,26366,73.68%,70.65%,46.79%,臺北市第一選區,538462,396984,18,13,5,10,6,4,283961,277603,6358,73.73%,71.53%,55.56%,臺北市第一選區士林區,215211,153116,150290,2826,71.15%,臺北市第一選區士林區福中里,4360,3160,3095,65,72.48%
區域,2628928,1936966,109,81,28,51,34,17,1368553,1342187,26366,73.68%,70.65%,46.79%,臺北市第一選區,538462,396984,18,13,5,10,6,4,283961,277603,6358,73.73%,71.53%,55.56%,臺北市第一選區士林區,215211,153116,150290,2826,71.15%,臺北市第一選區士林區前港里,3513,2543,2501,42,72.39%
