選舉別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市選區,縣市選區_人口數,縣市選區_選舉人數,縣市選區_候選人數_計,縣市選區_候選人數_男,縣市選區_候選人數_女,縣市選區_當選人數_計,縣市選區_當選人數_男,縣市選區_當選人數_女,縣市選區_投票數合計,縣市選區_有效票數,縣市選區_無效票數,縣市選區_選舉人數對人口數,縣市選區_投票數對選舉人數,縣市選區_當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區仁勇里,3309,2448,2427,21,73.98%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區義信里,2728,1966,1935,31,72.07%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區福林里,2585,1836,1814,22,71.03%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區福德里,5038,2692,2662,30,53.43%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區福志里,6207,4571,4524,47,73.64%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區舊佳里,5081,3603,3561,42,70.91%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區福佳里,6237,4617,4566,51,74.03%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區後港里,6532,4781,4728,53,73.19%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區福中里,4029,3002,2961,41,74.51%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區前港里,4876,3731,3683,48,76.52%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區百齡里,5912,4443,4384,59,75.15%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區承德里,4571,3348,3305,43,73.24%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區福華里,5524,3905,3851,54,70.69%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區明勝里,4055,2949,2907,42,72.73%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區福順里,4180,3061,3023,38,73.23%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區富光里,4828,3501,3457,44,72.51%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區葫蘆里,6098,4638,4583,55,76.06%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區葫東里,3146,2321,2289,32,73.78%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區社子里,5182,3695,3649,46,71.3%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區社新里,6978,5186,5119,67,74.32%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區社園里,5888,4531,4479,52,76.95%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區永倫里,5899,4529,4467,62,76.78%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區福安里,3949,3123,3095,28,79.08%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區富洲里,4621,3691,3642,49,79.87%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區岩山里,3075,2143,2105,38,69.69%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區名山里,5903,4353,4292,61,73.74%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區德行里,3591,2587,2543,44,72.04%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區德華里,4682,3353,3319,34,71.61%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區聖山里,4001,2961,2925,36,74.01%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區忠誠里,4562,3211,3165,46,70.39%
區域,2595352,2030823,94,61,33,60,39,21,1435581,1413072,22509,78.25%,70.69%,63.83%,臺北市第一選區,529473,416713,17,13,4,12,9,3,301597,297833,3764,78.7%,72.38%,70.59%,臺北市第一選區士林區,223712,162163,160126,2037,72.49%,臺北市第一選區士林區芝山里,6080,4373,4313,60,71.92%
