地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
臺北市,2651419,1816986,4,4,--,1,1,--,1426852,1408554,18298,68.53%,78.53%,25%,臺北市松山區,146272,111205,110041,1164,76%,臺北市松山區莊敬里,4918,3918,3864,54,79%
臺北市,2651419,1816986,4,4,--,1,1,--,1426852,1408554,18298,68.53%,78.53%,25%,臺北市松山區,146272,111205,110041,1164,76%,臺北市松山區東榮里,6944,5172,5133,39,74%
臺北市,2651419,1816986,4,4,--,1,1,--,1426852,1408554,18298,68.53%,78.53%,25%,臺北市松山區,146272,111205,110041,1164,76%,臺北市松山區三民里,5507,4085,4047,38,74%
臺北市,2651419,1816986,4,4,--,1,1,--,1426852,1408554,18298,68.53%,78.53%,25%,臺北市松山區,146272,111205,110041,1164,76%,臺北市松山區新益里,3831,2974,2942,32,77%
臺北市,2651419,1816986,4,4,--,1,1,--,1426852,1408554,18298,68.53%,78.53%,25%,臺北市松山區,146272,111205,110041,1164,76%,臺北市松山區富錦里,4324,3267,3237,30,75%
臺北市,2651419,1816986,4,4,--,1,1,--,1426852,1408554,18298,68.53%,78.53%,25%,臺北市松山區,146272,111205,110041,1164,76%,臺北市松山區新東里,3745,2931,2907,24,78%
臺北市,2651419,1816986,4,4,--,1,1,--,1426852,1408554,18298,68.53%,78.53%,25%,臺北市松山區,146272,111205,110041,1164,76%,臺北市松山區富泰里,3497,2580,2563,17,73%
臺北市,2651419,1816986,4,4,--,1,1,--,1426852,1408554,18298,68.53%,78.53%,25%,臺北市松山區,146272,111205,110041,1164,76%,臺北市松山區介壽里,3924,2835,2813,22,72%
臺北市,2651419,1816986,4,4,--,1,1,--,1426852,1408554,18298,68.53%,78.53%,25%,臺北市松山區,146272,111205,110041,1164,76%,臺北市松山區精忠里,3701,2685,2662,23,72%
臺北市,2651419,1816986,4,4,--,1,1,--,1426852,1408554,18298,68.53%,78.53%,25%,臺北市松山區,146272,111205,110041,1164,76%,臺北市松山區東光里,6207,4623,4576,47,74%
臺北市,2651419,1816986,4,4,--,1,1,--,1426852,1408554,18298,68.53%,78.53%,25%,臺北市松山區,146272,111205,110041,1164,76%,臺北市松山區龍田里,3531,2473,2448,25,70%
臺北市,2651419,1816986,4,4,--,1,1,--,1426852,1408554,18298,68.53%,78.53%,25%,臺北市松山區,146272,111205,110041,1164,76%,臺北市松山區東昌里,3857,2946,2921,25,76%
臺北市,2651419,1816986,4,4,--,1,1,--,1426852,1408554,18298,68.53%,78.53%,25%,臺北市松山區,146272,111205,110041,1164,76%,臺北市松山區東勢里,2733,2012,1986,26,73%
