地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市,縣市_選舉人數,縣市_投票數,縣市_有效票數,縣市_無效票數,縣市_投票率,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市中區,15541,10293,10160,133,66.23%,臺中市中區繼光里,1658,1167,1150,17,70.39%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市中區,15541,10293,10160,133,66.23%,臺中市中區大墩里,2382,1572,1554,18,65.99%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市中區,15541,10293,10160,133,66.23%,臺中市中區綠川里,1875,1294,1278,16,69.01%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市中區,15541,10293,10160,133,66.23%,臺中市中區公園里,1666,1048,1035,13,62.91%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市中區,15541,10293,10160,133,66.23%,臺中市中區光復里,2333,1525,1507,18,65.37%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市中區,15541,10293,10160,133,66.23%,臺中市中區柳川里,1850,1189,1170,19,64.27%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市中區,15541,10293,10160,133,66.23%,臺中市中區大誠里,2089,1417,1404,13,67.83%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市中區,15541,10293,10160,133,66.23%,臺中市中區中華里,1688,1081,1062,19,64.04%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區新庄里,3102,1912,1889,23,61.64%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區振興里,3188,2314,2280,34,72.58%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區東橋里,3420,2576,2557,19,75.32%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區東興里,2770,2051,2026,25,74.04%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區干城里,2101,1563,1541,22,74.39%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區泉源里,1621,1159,1131,28,71.5%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區旱溪里,2289,1694,1671,23,74.01%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區樂成里,1962,1343,1323,20,68.45%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區東門里,5393,4040,4009,31,74.91%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區十甲里,3627,2713,2663,50,74.8%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區東南里,3522,2488,2447,41,70.64%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區東勢里,2689,1775,1743,32,66.01%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區合作里,3785,2572,2531,41,67.95%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區富臺里,1677,1121,1100,21,66.85%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區富仁里,4001,2740,2702,38,68.48%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區東信里,7339,5425,5368,57,73.92%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市東區,57975,41605,41061,544,71.76%,臺中市東區東英里,5489,4119,4080,39,75.04%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區城隍里,3270,2338,2319,19,71.5%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區國光里,3768,2699,2676,23,71.63%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區南門里,3355,2288,2259,29,68.2%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區德義里,2453,1694,1683,11,69.06%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區積善里,2584,1792,1775,17,69.35%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區江川里,2553,1929,1910,19,75.56%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區新榮里,3496,2268,2251,17,64.87%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區福興里,3388,2460,2429,31,72.61%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區福平里,4628,3268,3240,28,70.61%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區和平里,2966,1975,1960,15,66.59%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區永興里,5612,3894,3861,33,69.39%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區樹義里,8182,5706,5645,61,69.74%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區樹德里,6252,4496,4451,45,71.91%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區西川里,3679,2555,2531,24,69.45%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區長春里,2158,1468,1459,9,68.03%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區長榮里,2522,1878,1860,18,74.46%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區福順里,4417,2880,2851,29,65.2%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區平和里,3323,2486,2449,37,74.81%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區南和里,5072,3209,3173,36,63.27%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區永和里,3503,2329,2300,29,66.49%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區工學里,4232,3045,3016,29,71.95%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市南區,85840,59855,59262,593,69.73%,臺中市南區崇倫里,4427,3198,3164,34,72.24%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市西區,88008,60300,59652,648,68.52%,臺中市西區民生里,2059,1413,1397,16,68.63%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市西區,88008,60300,59652,648,68.52%,臺中市西區利民里,1605,1095,1082,13,68.22%
臺中市,2645194,1977368,2,2,--,1,1,--,1446519,1428642,17877,74.75%,73.15%,50%,臺中市,1977368,1446519,1428642,17877,73.15%,臺中市西區,88008,60300,59652,648,68.52%,臺中市西區三民里,2085,1100,1094,6,52.76%
