地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市,縣市_選舉人數,縣市_投票數,縣市_有效票數,縣市_無效票數,縣市_投票率,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區忠政里,4566,3090,3042,48,67.67%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區民權里,2333,1575,1550,25,67.51%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區三仙里,2777,1880,1848,32,67.7%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區好平里,825,610,604,6,73.94%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區延平里,1175,867,849,18,73.79%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區永生里,943,699,684,15,74.13%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區大宏里,3029,1918,1891,27,63.32%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區王公里,3904,2648,2620,28,67.83%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區中營里,1142,871,859,12,76.27%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區土庫里,1420,1135,1116,19,79.93%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區興安里,401,309,304,5,77.06%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區南興里,2406,1491,1469,22,61.97%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區興業里,1466,953,939,14,65.01%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區民生里,3176,2156,2117,39,67.88%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區民榮里,4140,2765,2722,43,66.79%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區埤寮里,1651,1213,1188,25,73.47%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區護鎮里,1361,1037,1021,16,76.19%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區太南里,1476,1082,1056,26,73.31%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區太北里,1605,1160,1139,21,72.27%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區南紙里,3274,2334,2308,26,71.29%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區嘉芳里,1617,1110,1086,24,68.65%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區舊部里,330,276,272,4,83.64%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區角帶里,443,332,322,10,74.94%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區鐵線里,729,605,594,11,82.99%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區五興里,981,698,673,25,71.15%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區姑爺里,532,453,442,11,85.15%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區新北里,3982,2740,2702,38,68.81%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區新南里,3708,2468,2435,33,66.56%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市新營區,60079,41732,41072,660,69.46%,臺南市新營區新東里,4687,3257,3220,37,69.49%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市鹽水區,21878,16471,16094,377,75.29%,臺南市鹽水區水秀里,1522,1081,1056,25,71.02%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市鹽水區,21878,16471,16094,377,75.29%,臺南市鹽水區福得里,596,436,429,7,73.15%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市鹽水區,21878,16471,16094,377,75.29%,臺南市鹽水區三生里,349,284,276,8,81.38%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市鹽水區,21878,16471,16094,377,75.29%,臺南市鹽水區武廟里,528,388,380,8,73.48%
臺南市,1873754,1467256,2,2,--,1,1,--,1041941,1026093,15848,78.31%,71.01%,50%,臺南市,1467256,1041941,1026093,15848,71.01%,臺南市鹽水區,21878,16471,16094,377,75.29%,臺南市鹽水區中境里,491,345,340,5,70.26%
