地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市,縣市_選舉人數,縣市_投票數,縣市_有效票數,縣市_無效票數,縣市_投票率,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區留侯里,1359,971,959,12,71.45%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區流芳里,1195,843,837,6,70.54%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區赤松里,623,472,467,5,75.76%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區黃石里,982,722,711,11,73.52%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區挹秀里,1492,1066,1061,5,71.45%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區湳興里,4526,3299,3259,40,72.89%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區新興里,2776,1959,1941,18,70.57%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區社後里,7236,3583,3531,52,49.52%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區香社里,3694,2761,2724,37,74.74%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區中正里,3902,2796,2772,24,71.66%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區自強里,4556,3398,3377,21,74.58%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區自立里,2413,1773,1747,26,73.48%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區光華里,2302,1673,1654,19,72.68%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區國光里,3259,2495,2467,28,76.56%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區港尾里,2269,1787,1775,12,78.76%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區金華里,3460,2598,2561,37,75.09%
新北市,3892603,3006877,2,1,1,1,1,--,2142410,2120436,21974,77.25%,71.25%,50%,新北市,3006877,2142410,2120436,21974,71.25%,新北市板橋區,430434,314672,311427,3245,73.11%,新北市板橋區港德里,4134,2974,2938,36,71.94%
