地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區藍橋里,1021,823,806,17,80.61%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區慈愛里,649,533,525,8,82.13%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區博愛里,957,823,804,19,86%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區壽星里,1337,1068,1060,8,79.88%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區中山里,1316,1066,1059,7,81%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區教仁里,2194,1778,1753,25,81.04%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區新樂里,840,675,668,7,80.36%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區中原里,734,596,588,8,81.2%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區光明里,1128,909,893,16,80.59%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區育仁里,896,706,700,6,78.79%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區河濱里,1892,1470,1454,16,77.7%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區沙地里,1113,856,846,10,76.91%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區南端里,1170,903,892,11,77.18%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區港都里,1172,927,908,19,79.1%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區江西里,1249,987,977,10,79.02%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區新豐里,679,584,575,9,86.01%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區府北里,1701,1301,1281,20,76.48%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區陸橋里,1339,1081,1069,12,80.73%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區瀨南里,730,592,586,6,81.1%
高雄市,1454439,1004872,4,4,--,1,1,--,807996,796185,11811,69.09%,80.41%,25%,高雄市鹽埕區,23913,19095,18843,252,79.85%,高雄市鹽埕區新化里,855,666,656,10,77.89%
