地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區莊敬里,4782,3464,3435,29,72.44%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區東榮里,6863,4742,4694,48,69.1%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區三民里,5662,3922,3897,25,69.27%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區新益里,3735,2636,2617,19,70.58%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區富錦里,4303,2999,2971,28,69.7%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區新東里,4130,2841,2815,26,68.79%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區富泰里,3733,2528,2506,22,67.72%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區介壽里,3638,2484,2466,18,68.28%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區精忠里,3628,2469,2452,17,68.05%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區東光里,6097,4200,4167,33,68.89%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區龍田里,4764,3326,3309,17,69.82%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區東昌里,2217,1545,1535,10,69.69%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區東勢里,3445,2406,2380,26,69.84%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區中華里,4719,3375,3340,35,71.52%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區民有里,7066,4703,4661,42,66.56%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區民福里,5398,3903,3863,40,72.3%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區慈祐里,5318,3301,3280,21,62.07%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區安平里,6930,5151,5086,65,74.33%
臺北市,2639094,1947169,2,2,--,1,1,--,1374862,1361913,12949,73.78%,70.61%,50%,臺北市松山區,150310,104719,103778,941,69.67%,臺北市松山區鵬程里,4708,3400,3375,25,72.22%
