地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
高雄市,1512255,1140110,5,4,1,1,--,1,774490,767868,6622,75.39%,67.93%,20%,高雄市鹽埕區,23205,16665,16534,131,71.82%,高雄市鹽埕區藍橋里,1292,948,945,3,73.37%
高雄市,1512255,1140110,5,4,1,1,--,1,774490,767868,6622,75.39%,67.93%,20%,高雄市鹽埕區,23205,16665,16534,131,71.82%,高雄市鹽埕區慈愛里,439,342,337,5,77.9%
高雄市,1512255,1140110,5,4,1,1,--,1,774490,767868,6622,75.39%,67.93%,20%,高雄市鹽埕區,23205,16665,16534,131,71.82%,高雄市鹽埕區博愛里,722,553,541,12,76.59%
高雄市,1512255,1140110,5,4,1,1,--,1,774490,767868,6622,75.39%,67.93%,20%,高雄市鹽埕區,23205,16665,16534,131,71.82%,高雄市鹽埕區壽星里,1362,963,952,11,70.7%
高雄市,1512255,1140110,5,4,1,1,--,1,774490,767868,6622,75.39%,67.93%,20%,高雄市鹽埕區,23205,16665,16534,131,71.82%,高雄市鹽埕區中山里,1173,866,862,4,73.83%
高雄市,1512255,1140110,5,4,1,1,--,1,774490,767868,6622,75.39%,67.93%,20%,高雄市鹽埕區,23205,16665,16534,131,71.82%,高雄市鹽埕區教仁里,2186,1621,1610,11,74.15%
高雄市,1512255,1140110,5,4,1,1,--,1,774490,767868,6622,75.39%,67.93%,20%,高雄市鹽埕區,23205,16665,16534,131,71.82%,高雄市鹽埕區新樂里,912,673,667,6,73.79%
高雄市,1512255,1140110,5,4,1,1,--,1,774490,767868,6622,75.39%,67.93%,20%,高雄市鹽埕區,23205,16665,16534,131,71.82%,高雄市鹽埕區中原里,730,545,541,4,74.66%
高雄市,1512255,1140110,5,4,1,1,--,1,774490,767868,6622,75.39%,67.93%,20%,高雄市鹽埕區,23205,16665,16534,131,71.82%,高雄市鹽埕區光明里,1320,852,851,1,64.55%
高雄市,1512255,1140110,5,4,1,1,--,1,774490,767868,6622,75.39%,67.93%,20%,高雄市鹽埕區,23205,16665,16534,131,71.82%,高雄市鹽埕區育仁里,823,580,578,2,70.47%
