選舉別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市選區,縣市選區_人口數,縣市選區_選舉人數,縣市選區_候選人數_計,縣市選區_候選人數_男,縣市選區_候選人數_女,縣市選區_當選人數_計,縣市選區_當選人數_男,縣市選區_當選人數_女,縣市選區_投票數合計,縣市選區_有效票數,縣市選區_無效票數,縣市選區_選舉人數對人口數,縣市選區_投票數對選舉人數,縣市選區_當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區藍橋里,978,717,704,13,73%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區慈愛里,691,509,497,12,73%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區博愛里,749,595,587,8,79%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區壽星里,1302,956,933,23,73%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區中山里,1239,883,869,14,71%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區教仁里,2212,1610,1583,27,72%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區新樂里,760,565,556,9,74%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區中原里,705,514,498,16,72%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區光明里,1020,740,727,13,72%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區育仁里,911,648,632,16,71%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區河濱里,1908,1355,1340,15,71%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區沙地里,1155,793,782,11,68%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區南端里,1209,861,851,10,71%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區港都里,1223,900,880,20,73%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區江西里,1307,907,895,12,69%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區新豐里,716,540,532,8,75%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區府北里,1742,1175,1162,13,67%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區陸橋里,1384,997,982,15,72%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區瀨南里,760,578,571,7,76%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區新化里,853,634,613,21,74%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鹽埕區,23766,17152,16858,294,72%,高雄市第一選區鹽埕區江南里,942,675,664,11,71%
區域,20893361,13922373,314,276,38,122,104,18,9440685,9311367,129318,66.64%,67.81%,38.85%,高雄市第一選區,730898,506789,12,11,1,6,5,1,367028,361828,5200,69.34%,72.42%,50%,高雄市第一選區鼓山區,74484,54666,53941,725,73%,高雄市第一選區鼓山區鼓峰里,2083,1496,1465,31,71%
