選舉別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市選區,縣市選區_人口數,縣市選區_選舉人數,縣市選區_候選人數_計,縣市選區_候選人數_男,縣市選區_候選人數_女,縣市選區_當選人數_計,縣市選區_當選人數_男,縣市選區_當選人數_女,縣市選區_投票數合計,縣市選區_有效票數,縣市選區_無效票數,縣市選區_選舉人數對人口數,縣市選區_投票數對選舉人數,縣市選區_當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
區域,22443311,16856584,283,226,57,73,57,16,9897618,9740896,156722,75.11%,58.72%,25.8%,高雄市第一選區,350398,256225,3,1,2,1,--,1,160229,158524,1705,73.12%,62.53%,33.33%,高雄市第一選區左營區,134400,84669,83767,902,63%,高雄市第一選區左營區進學里,1933,983,971,12,50.85%
區域,22443311,16856584,283,226,57,73,57,16,9897618,9740896,156722,75.11%,58.72%,25.8%,高雄市第一選區,350398,256225,3,1,2,1,--,1,160229,158524,1705,73.12%,62.53%,33.33%,高雄市第一選區左營區,134400,84669,83767,902,63%,高雄市第一選區左營區尾西里,1149,775,766,9,67.45%
區域,22443311,16856584,283,226,57,73,57,16,9897618,9740896,156722,75.11%,58.72%,25.8%,高雄市第一選區,350398,256225,3,1,2,1,--,1,160229,158524,1705,73.12%,62.53%,33.33%,高雄市第一選區左營區,134400,84669,83767,902,63%,高雄市第一選區左營區頂北里,571,375,370,5,65.67%
區域,22443311,16856584,283,226,57,73,57,16,9897618,9740896,156722,75.11%,58.72%,25.8%,高雄市第一選區,350398,256225,3,1,2,1,--,1,160229,158524,1705,73.12%,62.53%,33.33%,高雄市第一選區左營區,134400,84669,83767,902,63%,高雄市第一選區左營區中北里,686,471,461,10,68.66%
區域,22443311,16856584,283,226,57,73,57,16,9897618,9740896,156722,75.11%,58.72%,25.8%,高雄市第一選區,350398,256225,3,1,2,1,--,1,160229,158524,1705,73.12%,62.53%,33.33%,高雄市第一選區左營區,134400,84669,83767,902,63%,高雄市第一選區左營區中南里,547,347,340,7,63.44%
區域,22443311,16856584,283,226,57,73,57,16,9897618,9740896,156722,75.11%,58.72%,25.8%,高雄市第一選區,350398,256225,3,1,2,1,--,1,160229,158524,1705,73.12%,62.53%,33.33%,高雄市第一選區左營區,134400,84669,83767,902,63%,高雄市第一選區左營區廟東里,862,589,581,8,68.33%
區域,22443311,16856584,283,226,57,73,57,16,9897618,9740896,156722,75.11%,58.72%,25.8%,高雄市第一選區,350398,256225,3,1,2,1,--,1,160229,158524,1705,73.12%,62.53%,33.33%,高雄市第一選區左營區,134400,84669,83767,902,63%,高雄市第一選區左營區廟北里,961,643,633,10,66.91%
區域,22443311,16856584,283,226,57,73,57,16,9897618,9740896,156722,75.11%,58.72%,25.8%,高雄市第一選區,350398,256225,3,1,2,1,--,1,160229,158524,1705,73.12%,62.53%,33.33%,高雄市第一選區左營區,134400,84669,83767,902,63%,高雄市第一選區左營區尾南里,770,496,492,4,64.42%
區域,22443311,16856584,283,226,57,73,57,16,9897618,9740896,156722,75.11%,58.72%,25.8%,高雄市第一選區,350398,256225,3,1,2,1,--,1,160229,158524,1705,73.12%,62.53%,33.33%,高雄市第一選區左營區,134400,84669,83767,902,63%,高雄市第一選區左營區尾北里,2850,1879,1856,23,65.93%
區域,22443311,16856584,283,226,57,73,57,16,9897618,9740896,156722,75.11%,58.72%,25.8%,高雄市第一選區,350398,256225,3,1,2,1,--,1,160229,158524,1705,73.12%,62.53%,33.33%,高雄市第一選區左營區,134400,84669,83767,902,63%,高雄市第一選區左營區屏山里,1472,1048,1031,17,71.2%
