地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市選區,縣市選區_人口數,縣市選區_選舉人數,縣市選區_候選人數_計,縣市選區_候選人數_男,縣市選區_候選人數_女,縣市選區_當選人數_計,縣市選區_當選人數_男,縣市選區_當選人數_女,縣市選區_投票數合計,縣市選區_有效票數,縣市選區_無效票數,縣市選區_選舉人數對人口數,縣市選區_投票數對選舉人數,縣市選區_當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市神農里,561,385,382,3,68.63%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市民權里,1667,1084,1070,14,65.03%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市民生里,431,310,308,2,71.93%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市昇平里,657,503,496,7,76.56%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市大東里,547,415,409,6,75.87%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市新興里,548,372,366,6,67.88%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市和睦里,2014,1379,1354,25,68.47%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市進士里,4862,3374,3326,48,69.4%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市南橋里,657,525,521,4,79.91%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市建業里,1212,841,828,13,69.39%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市南津里,962,703,694,9,73.08%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市凱旋里,1185,845,830,15,71.31%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市黎明里,1393,1056,1038,18,75.81%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市東村里,4269,2912,2872,40,68.21%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市延平里,4778,3370,3317,53,70.53%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市七張里,1247,926,916,10,74.26%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市慈安里,4307,2839,2771,68,65.92%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市新民里,607,434,427,7,71.5%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市東門里,462,345,339,6,74.68%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市中正里,579,408,405,3,70.47%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市小東里,1231,898,883,15,72.95%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市菜園里,1267,882,867,15,69.61%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市孝廉里,965,698,690,8,72.33%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市新生里,2306,1630,1612,18,70.69%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市茭白里,2118,1464,1441,23,69.12%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市北津里,1644,1198,1178,20,72.87%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市梅洲里,2669,1920,1895,25,71.94%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市北門里,800,573,566,7,71.63%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市慶和里,715,497,490,7,69.51%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市鄂王里,719,487,483,4,67.73%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市中山里,694,508,501,7,73.2%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市西門里,1191,860,849,11,72.21%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市大道里,1339,939,924,15,70.13%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市南門里,532,384,381,3,72.18%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市負郭里,2566,1777,1743,34,69.25%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市民族里,2275,1585,1558,27,69.67%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市建軍里,2524,1684,1641,43,66.72%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市思源里,5811,4077,4004,73,70.16%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市文化里,2911,2052,2023,29,70.49%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第一選區,94781,69943,10,7,3,6,5,1,49056,48275,781,73.79%,70.14%,60%,宜蘭縣第一選區宜蘭市,69943,49056,48275,781,70.14%,宜蘭縣第一選區宜蘭市復興里,2721,1917,1877,40,70.45%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第二選區,30948,23974,4,4,--,2,2,--,16499,16055,444,77.47%,68.82%,50%,宜蘭縣第二選區頭城鎮,23974,16499,16055,444,68.82%,宜蘭縣第二選區頭城鎮石城里,338,219,209,10,64.79%
宜蘭縣,461345,350734,56,47,9,34,30,4,248060,241665,6395,76.02%,70.73%,60.71%,宜蘭縣第二選區,30948,23974,4,4,--,2,2,--,16499,16055,444,77.47%,68.82%,50%,宜蘭縣第二選區頭城鎮,23974,16499,16055,444,68.82%,宜蘭縣第二選區頭城鎮大里里,689,435,419,16,63.13%
