地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
臺北縣,3388741,2242060,6,5,1,1,1,--,1424010,1405658,18352,66.16%,63.51%,16.67%,臺北縣板橋市,338979,221175,218464,2711,65%,臺北縣板橋市留侯里,1181,756,744,12,64%
臺北縣,3388741,2242060,6,5,1,1,1,--,1424010,1405658,18352,66.16%,63.51%,16.67%,臺北縣板橋市,338979,221175,218464,2711,65%,臺北縣板橋市流芳里,1257,805,804,1,64%
臺北縣,3388741,2242060,6,5,1,1,1,--,1424010,1405658,18352,66.16%,63.51%,16.67%,臺北縣板橋市,338979,221175,218464,2711,65%,臺北縣板橋市赤松里,629,447,439,8,71%
臺北縣,3388741,2242060,6,5,1,1,1,--,1424010,1405658,18352,66.16%,63.51%,16.67%,臺北縣板橋市,338979,221175,218464,2711,65%,臺北縣板橋市黃石里,1077,692,681,11,64%
臺北縣,3388741,2242060,6,5,1,1,1,--,1424010,1405658,18352,66.16%,63.51%,16.67%,臺北縣板橋市,338979,221175,218464,2711,65%,臺北縣板橋市挹秀里,1504,1020,1016,4,67%
臺北縣,3388741,2242060,6,5,1,1,1,--,1424010,1405658,18352,66.16%,63.51%,16.67%,臺北縣板橋市,338979,221175,218464,2711,65%,臺北縣板橋市湳興里,3696,2462,2420,42,66%
臺北縣,3388741,2242060,6,5,1,1,1,--,1424010,1405658,18352,66.16%,63.51%,16.67%,臺北縣板橋市,338979,221175,218464,2711,65%,臺北縣板橋市新興里,2410,1563,1543,20,64%
臺北縣,3388741,2242060,6,5,1,1,1,--,1424010,1405658,18352,66.16%,63.51%,16.67%,臺北縣板橋市,338979,221175,218464,2711,65%,臺北縣板橋市社後里,4473,2926,2892,34,65%
臺北縣,3388741,2242060,6,5,1,1,1,--,1424010,1405658,18352,66.16%,63.51%,16.67%,臺北縣板橋市,338979,221175,218464,2711,65%,臺北縣板橋市香社里,3099,2077,2045,32,67%
臺北縣,3388741,2242060,6,5,1,1,1,--,1424010,1405658,18352,66.16%,63.51%,16.67%,臺北縣板橋市,338979,221175,218464,2711,65%,臺北縣板橋市中正里,3501,2172,2145,27,62%
