地區別," 人口數",選舉人數,候選組數,當選組數,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市,縣市_選舉人數,縣市_投票數,縣市_有效票數,縣市_無效票數,縣市_投票率,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市神農里,569,415,410,5,72.93%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市民權里,1737,1170,1159,11,67.36%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市民生里,426,318,316,2,74.65%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市昇平里,608,479,475,4,78.78%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市大東里,516,386,383,3,74.81%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市新興里,543,414,406,8,76.24%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市和睦里,2017,1527,1514,13,75.71%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市進士里,4908,3670,3649,21,74.78%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市南橋里,692,541,539,2,78.18%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市建業里,1299,972,966,6,74.83%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市南津里,1003,744,740,4,74.18%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市凱旋里,1188,885,874,11,74.49%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市黎明里,1478,1116,1106,10,75.51%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市東村里,4437,3191,3163,28,71.92%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市延平里,5186,3846,3812,34,74.16%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市七張里,1281,944,936,8,73.69%
台澎金馬,23224912,18086455,3,1,13452016,13354305,97711,77.88%,74.38%,33.33%,宜蘭縣,358059,259741,257304,2437,72.54%,宜蘭縣宜蘭市,71890,52992,52548,444,73.71%,宜蘭縣宜蘭市慈安里,4435,3108,3083,25,70.08%
