地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,鄉鎮選區,鄉鎮選區_人口數,鄉鎮選區_選舉人數,鄉鎮選區_候選人數_計,鄉鎮選區_候選人數_男,鄉鎮選區_候選人數_女,鄉鎮選區_當選人數_計,鄉鎮選區_當選人數_男,鄉鎮選區_當選人數_女,鄉鎮選區_投票數合計,鄉鎮選區_有效票數,鄉鎮選區_無效票數,鄉鎮選區_選舉人數對人口數,鄉鎮選區_投票數對選舉人數,鄉鎮選區_當選人數對候選人數,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市留侯里,1171,553,525,28,47.22%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市流芳里,1247,717,689,28,57.5%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市赤松里,629,360,346,14,57.23%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市黃石里,1054,601,572,29,57.02%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市挹秀里,1507,772,753,19,51.23%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市湳興里,3674,1963,1907,56,53.43%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市新興里,2404,1396,1349,47,58.07%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市社後里,4499,2318,2259,59,51.52%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市香社里,3101,1561,1517,44,50.34%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市中正里,3513,1610,1567,43,45.83%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市自強里,4271,2020,1969,51,47.3%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市自立里,2308,1238,1220,18,53.64%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市光華里,2060,993,965,28,48.2%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市國光里,3054,1474,1453,21,48.26%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市港尾里,1640,685,662,23,41.77%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市金華里,3013,1515,1478,37,50.28%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市港德里,3946,1592,1542,50,40.34%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市民權里,2453,1109,1083,26,45.21%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市建國里,3145,1691,1642,49,53.77%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市漢生里,3589,1782,1745,37,49.65%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市公館里,2993,1645,1591,54,54.96%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市新民里,3330,1780,1728,52,53.45%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市幸福里,3169,1674,1635,39,52.82%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市忠誠里,2018,1070,1039,31,53.02%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市百壽里,1959,1154,1123,31,58.91%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市介壽里,2353,1243,1203,40,52.83%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市新埔里,1953,1062,1028,34,54.38%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市華江里,2637,1269,1242,27,48.12%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市江翠里,3446,1861,1815,46,54%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市純翠里,3354,1637,1578,59,48.81%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市溪頭里,3989,2090,2026,64,52.39%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市聯翠里,1969,1032,999,33,52.41%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市宏翠里,2141,1429,1369,60,66.74%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市仁翠里,2471,1586,1536,50,64.18%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市新翠里,4040,2213,2138,75,54.78%
臺北縣,3388741,2236468,74,65,9,29,26,3,1071306,1044573,26733,66%,47.9%,39.19%,臺北縣板橋市,521394,338061,2,2,--,1,1,--,167369,162594,4775,64.84%,49.51%,50%,臺北縣板橋市吉翠里,2666,1560,1504,56,58.51%
