選舉年度,地區別,地區,姓名,號次,性別,出生年次,推薦政黨,地區_得票數,地區_得票率,當選否,是否現任,里,里_得票數,里_得票率
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市留侯里,327,41.55%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市流芳里,361,46.34%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市赤松里,205,42.44%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市黃石里,357,49.38%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市挹秀里,371,35.91%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市湳興里,1201,46.53%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市新興里,780,47.82%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市社後里,1549,47.24%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市香社里,1222,51.65%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市中正里,1146,49.42%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市自強里,1103,35.25%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市自立里,868,51.06%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市光華里,668,42.6%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市國光里,531,21.69%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市港尾里,747,48.48%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市金華里,1124,50.43%
2005,臺灣省臺北縣," 臺北縣板橋市",張宏陸,01,M,1972,民主進步黨,128684,48.02%,N,Y,臺北縣板橋市港德里,1419,52.15%
